ticker,name,asset_type,dividends,currency,isin,source,source_file_path,active,start_date,end_date,notes
CARR.L,CARR'S GROUP PLC ORD 2.5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
CAPD.L,CAPITAL LD COMM SHS USD0.0001 (DI),uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BIPS.L,INVESCO BOND INCOME PLUS LIMITED ORD NPV,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BGUK.L,BAILLIE GIFFORD UK GROWTH TRUST PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
ARR.L,AURORA UK ALPHA PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
AGR.L,ASSURA PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
AAIF.L,ABERDEEN ASIAN INCOME FUND LIMITED ORD NPV,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
STJ.L,ST.JAMES'S PLACE PLC ORD 15P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
HLN.L,HALEON PLC ORD GBP0.01,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SN.L,SMITH & NEPHEW PLC ORD USD0.20,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
PSON.L,PEARSON PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
JUP.L,JUPITER FUND MANAGEMENT PLC ORD 2P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
